"gameorder","game_id","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","team_id","fran_id","pts","elo_i","elo_n","win_equiv","opp_id","opp_fran","opp_pts","opp_elo_i","opp_elo_n","game_location","game_result","forecast","notes"
61847,"201410280LAL","NBA",1,2015,"10/28/2014",1,0,"HOU","Rockets",108,1596.4641,1607.8038,51.586834,"LAL","Lakers",90,1421.9985,1410.6588,"A","W",0.60555327,"NULL"
61847,"201410280LAL","NBA",0,2015,"10/28/2014",1,0,"LAL","Lakers",90,1421.9985,1410.6588,31.337477,"HOU","Rockets",108,1596.4641,1607.8038,"H","L",0.39444676,"NULL"
61848,"201410280NOP","NBA",0,2015,"10/28/2014",1,0,"NOP","Pelicans",101,1457.2185,1463.354,36.695789,"ORL","Magic",84,1359.4265,1353.291,"H","W",0.75741923,"NULL"
61848,"201410280NOP","NBA",1,2015,"10/28/2014",1,0,"ORL","Magic",84,1359.4265,1353.291,25.881901,"NOP","Pelicans",101,1457.2185,1463.354,"A","L",0.24258077,"NULL"
61849,"201410280SAS","NBA",0,2015,"10/28/2014",1,0,"SAS","Spurs",101,1699.5024,1701.1141,60.040932,"DAL","Mavericks",100,1592.0101,1590.3984,"H","W",0.76753098,"NULL"
61849,"201410280SAS","NBA",1,2015,"10/28/2014",1,0,"DAL","Mavericks",100,1592.0101,1590.3984,49.864151,"SAS","Spurs",101,1699.5024,1701.1141,"A","L",0.23246902,"NULL"
61850,"201410290BOS","NBA",0,2015,"10/29/2014",1,0,"BOS","Celtics",121,1378.5464,1394.7191,29.774229,"BRK","Nets",105,1518.2666,1502.0939,"H","W",0.44308576,"NULL"
61850,"201410290BOS","NBA",1,2015,"10/29/2014",1,0,"BRK","Nets",105,1518.2666,1502.0939,40.743515,"BOS","Celtics",121,1378.5464,1394.7191,"A","L",0.55691421,"NULL"
61851,"201410290CHO","NBA",1,2015,"10/29/2014",1,0,"MIL","Bucks",106,1317.8491,1316.6272,22.6791,"CHO","Hornets",108,1511.0031,1512.225,"A","L",0.15610099,"NULL"
61851,"201410290CHO","NBA",0,2015,"10/29/2014",1,0,"CHO","Hornets",108,1511.0031,1512.225,41.806114,"MIL","Bucks",106,1317.8491,1316.6272,"H","W",0.84389901,"NULL"
61852,"201410290DEN","NBA",0,2015,"10/29/2014",1,0,"DEN","Nuggets",89,1473.0493,1477.7131,38.190491,"DET","Pistons",79,1389.2994,1384.6356,"H","W",0.74226022,"NULL"
61852,"201410290DEN","NBA",1,2015,"10/29/2014",1,0,"DET","Pistons",79,1389.2994,1384.6356,28.802885,"DEN","Nuggets",89,1473.0493,1477.7131,"A","L",0.25773978,"NULL"
61853,"201410290IND","NBA",0,2015,"10/29/2014",1,0,"IND","Pacers",103,1532.6748,1535.2634,44.216228,"PHI","Sixers",91,1316.4243,1313.8357,"H","W",0.86062419,"NULL"
61853,"201410290IND","NBA",1,2015,"10/29/2014",1,0,"PHI","Sixers",91,1316.4243,1313.8357,22.445501,"IND","Pacers",103,1532.6748,1535.2634,"A","L",0.13937581,"NULL"
61854,"201410290MEM","NBA",0,2015,"10/29/2014",1,0,"MEM","Grizzlies",105,1578.4064,1581.522,48.972343,"MIN","Timberwolves",101,1513.3354,1510.2198,"H","W",0.72116035,"NULL"
61854,"201410290MEM","NBA",1,2015,"10/29/2014",1,0,"MIN","Timberwolves",101,1513.3354,1510.2198,41.595848,"MEM","Grizzlies",105,1578.4064,1581.522,"A","L",0.27883965,"NULL"
61855,"201410290MIA","NBA",1,2015,"10/29/2014",1,0,"WAS","Wizards",95,1541.4388,1534.9141,44.179802,"MIA","Heat",107,1579.3748,1585.8995,"A","L",0.31130552,"NULL"
61855,"201410290MIA","NBA",0,2015,"10/29/2014",1,0,"MIA","Heat",107,1579.3748,1585.8995,49.413189,"WAS","Wizards",95,1541.4388,1534.9141,"H","W",0.68869448,"NULL"
61856,"201410290NYK","NBA",0,2015,"10/29/2014",1,0,"NYK","Knicks",80,1534.4419,1509.5001,41.520367,"CHI","Bulls",104,1547.2185,1572.1603,"H","L",0.62295228,"NULL"
61856,"201410290NYK","NBA",1,2015,"10/29/2014",1,0,"CHI","Bulls",104,1547.2185,1572.1603,48.023235,"NYK","Knicks",80,1534.4419,1509.5001,"A","W",0.37704772,"NULL"
61857,"201410290PHO","NBA",0,2015,"10/29/2014",1,0,"PHO","Suns",119,1560.1208,1565.3689,47.329758,"LAL","Lakers",99,1410.6588,1405.4108,"H","W",0.80783743,"NULL"
61857,"201410290PHO","NBA",1,2015,"10/29/2014",2,0,"LAL","Lakers",99,1410.6588,1405.4108,30.819227,"PHO","Suns",119,1560.1208,1565.3689,"A","L",0.19216257,"NULL"
61858,"201410290POR","NBA",1,2015,"10/29/2014",1,0,"OKC","Thunder",89,1619.7805,1607.6138,51.568226,"POR","Trailblazers",106,1567.8318,1579.9985,"A","L",0.43128622,"NULL"
61858,"201410290POR","NBA",0,2015,"10/29/2014",1,0,"POR","Trailblazers",106,1567.8318,1579.9985,48.81847,"OKC","Thunder",89,1619.7805,1607.6138,"H","W",0.56871378,"NULL"
61859,"201410290SAC","NBA",1,2015,"10/29/2014",1,0,"GSW","Warriors",95,1590.7976,1602.8633,51.101589,"SAC","Kings",77,1431.1567,1419.0911,"A","W",0.58499688,"NULL"
61859,"201410290SAC","NBA",0,2015,"10/29/2014",1,0,"SAC","Kings",77,1431.1567,1419.0911,32.176994,"GSW","Warriors",95,1590.7976,1602.8633,"H","L",0.41500312,"NULL"
61860,"201410290TOR","NBA",0,2015,"10/29/2014",1,0,"TOR","Raptors",109,1550.7469,1554.9813,46.26199,"ATL","Hawks",102,1490.1147,1485.8804,"H","W",0.71599334,"NULL"
61860,"201410290TOR","NBA",1,2015,"10/29/2014",1,0,"ATL","Hawks",102,1490.1147,1485.8804,39.044273,"TOR","Raptors",109,1550.7469,1554.9813,"A","L",0.28400666,"NULL"
61861,"201410290UTA","NBA",0,2015,"10/29/2014",1,0,"UTA","Jazz",93,1373.317,1367.0422,27.144075,"HOU","Rockets",104,1607.8038,1614.0786,"H","L",0.3155781,"NULL"
61861,"201410290UTA","NBA",1,2015,"10/29/2014",2,0,"HOU","Rockets",104,1607.8038,1614.0786,52.198559,"UTA","Jazz",93,1373.317,1367.0422,"A","W",0.6844219,"NULL"
