danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.244,0.982,8,-5.079,0.109,4.83E-06,0.905,0.0638,0.196,189.746,death-metal
0.368,0.995,6,-4.894,0.183,1.34E-05,0.849,0.159,0.143,98.04,death-metal
0.227,0.981,6,-5.343,0.145,6.05E-06,0.84,0.0581,0.124,115.207,death-metal
0.265,0.993,8,-4.949,0.173,8.20E-06,0.901,0.13,0.0857,100.688,death-metal
0.348,0.998,2,-5.299,0.208,5.80E-06,0.897,0.161,0.0391,109.997,death-metal
0.197,0.992,1,-5.413,0.127,4.10E-06,0.864,0.171,0.0669,106.864,death-metal
0.387,0.976,8,-4.896,0.0767,6.02E-06,0.864,0.0819,0.306,96.082,death-metal
0.138,0.969,9,-5.345,0.115,8.45E-06,0.912,0.201,0.217,180.141,death-metal
0.327,0.972,1,-5.845,0.0954,4.80E-05,0.894,0.106,0.357,176.099,death-metal
0.182,0.983,2,-4.916,0.163,1.22E-05,0.888,0.173,0.357,103.839,death-metal
0.447,0.997,3,-4.703,0.173,1.58E-05,0.879,0.138,0.131,109.959,death-metal
0.354,0.991,8,-5.389,0.156,6.22E-06,0.925,0.109,0.177,145.976,death-metal
0.24,0.981,8,-5.181,0.119,5.39E-06,0.922,0.0635,0.217,189.803,death-metal
0.368,0.994,6,-5.19,0.183,1.99E-05,0.821,0.221,0.129,98.024,death-metal
0.225,0.98,6,-5.626,0.143,5.84E-06,0.86,0.0653,0.105,115.077,death-metal
0.325,0.992,8,-5.167,0.172,8.36E-06,0.886,0.157,0.0912,100.696,death-metal
0.395,0.998,2,-5.354,0.206,5.75E-06,0.908,0.161,0.0397,110.036,death-metal
0.141,0.992,1,-5.413,0.125,4.17E-06,0.865,0.171,0.0699,159.989,death-metal
0.385,0.974,1,-5.184,0.0751,6.77E-06,0.863,0.0834,0.299,96.021,death-metal
0.139,0.968,9,-5.594,0.122,8.48E-06,0.884,0.2,0.208,180.246,death-metal
0.324,0.972,1,-5.845,0.0958,4.80E-05,0.889,0.106,0.356,176.141,death-metal
0.376,0.984,2,-4.916,0.152,1.23E-05,0.882,0.173,0.112,104.074,death-metal
0.428,0.997,3,-4.999,0.171,1.72E-05,0.87,0.129,0.122,109.942,death-metal
0.344,0.989,8,-5.694,0.153,6.58E-06,0.922,0.134,0.18,146.176,death-metal
0.301,0.997,8,-3.095,0.275,0.00158,0.0748,0.331,0.0371,175.89,death-metal
0.498,0.997,8,-3.298,0.207,0.000249,0.759,0.0586,0.0589,116.053,death-metal
0.367,0.997,1,-2.695,0.228,0.00097,0.0802,0.0776,0.0567,115.024,death-metal
0.495,0.994,1,-2.685,0.189,0.000149,0.491,0.0617,0.135,100.054,death-metal
0.517,0.997,1,-3.075,0.168,0.00064,0.00561,0.332,0.162,102.041,death-metal
0.449,0.989,8,-3.601,0.211,0.00012,0.114,0.28,0.0737,145.876,death-metal
0.311,0.983,8,-3.062,0.227,0.00139,0.0887,0.17,0.0425,196.106,death-metal
0.474,0.997,10,-2.889,0.276,0.000228,0.0163,0.337,0.0649,119.938,death-metal
0.339,0.991,10,-2.403,0.176,0.00384,0.00645,0.574,0.217,113.374,death-metal
0.544,0.996,1,-2.853,0.116,0.000628,0.012,0.18,0.136,105.996,death-metal
0.276,0.997,10,-2.849,0.173,0.00158,0.33,0.301,0.142,114.671,death-metal
0.363,0.994,1,-2.731,0.27,0.000593,0.0102,0.258,0.143,194.019,death-metal
0.19,0.997,8,-6.501,0.16,0.000682,0.161,0.872,0.0338,122.496,death-metal
0.181,0.996,8,-5.941,0.153,0.000802,0.529,0.92,0.0727,134.541,death-metal
0.13,0.994,1,-6.554,0.112,0.000441,0.822,0.349,0.0939,186.461,death-metal
0.165,0.998,7,-5.887,0.139,0.000279,0.597,0.718,0.0288,134.413,death-metal
0.203,0.989,1,-6.156,0.207,5.15E-05,0.774,0.803,0.0393,137.928,death-metal
0.17,0.997,5,-6.102,0.142,7.34E-05,0.785,0.818,0.108,141.199,death-metal
0.218,0.998,2,-5.767,0.149,8.00E-04,0.736,0.949,0.0391,128.754,death-metal
0.143,0.994,2,-5.986,0.108,0.000767,0.28,0.957,0.059,95.461,death-metal
0.224,0.995,6,-5.898,0.176,0.00016,0.522,0.309,0.0685,126.607,death-metal
0.15,0.995,6,-6.892,0.159,0.0011,0.694,0.829,0.0399,92.272,death-metal
0.292,0.989,1,-5.918,0.11,0.00116,0.78,0.107,0.122,79.775,death-metal
0.369,0.961,8,-6.992,0.0576,0.000529,0.462,0.756,0.213,172.041,death-metal
0.19,0.997,8,-6.501,0.16,0.000682,0.161,0.872,0.0338,122.496,death-metal
0.181,0.996,8,-5.941,0.153,0.000802,0.529,0.92,0.0727,134.541,death-metal
0.13,0.994,1,-6.554,0.112,0.000441,0.822,0.349,0.0939,186.461,death-metal
0.165,0.998,7,-5.887,0.139,0.000279,0.597,0.718,0.0288,134.413,death-metal
0.203,0.989,1,-6.156,0.207,5.15E-05,0.774,0.803,0.0393,137.928,death-metal
0.17,0.997,5,-6.102,0.142,7.34E-05,0.785,0.818,0.108,141.199,death-metal
